Weight,Duration,HeartRate,ExerciseType,Calories
57.92,53.93,150.05,Running,492.24
82.23,12.83,164.41,Walking,103.8
94.18,26.32,131.86,Cycling,192.04
65.14,80.65,164.26,Walking,363.93
76.12,15.39,106.98,Cycling,137.73
64.83,15.54,103.74,Walking,98.33
63.48,82.63,155.58,Walking,393.68
62.39,32.63,91.41,Cycling,241.73
52.4,70.72,126.97,Walking,319.01
53.03,30.55,96.26,Running,268.27
53.47,18.4,125.48,Cycling,166.51
53.59,43.04,116.2,Running,375.68
93.3,18.66,142.93,Running,216.11
50.64,61.96,118.13,Running,540.3
93.45,60.08,139.51,Running,529.81
52.4,26.59,104.24,Cycling,198.42
63.59,45.32,163.37,Walking,247.13
83.8,82.66,152.76,Walking,381.78
95.11,73.43,112.32,Running,621.49
90.43,23.26,127.95,Walking,154.72
87.4,17.13,123.1,Cycling,148.03
84.65,88.44,135.09,Walking,411.12
95.87,51.91,97.94,Walking,244.63
54.04,48.75,108.37,Running,422.99
93.94,49.65,113.59,Cycling,333.09
85.5,47.24,108.61,Walking,234.51
62.61,20.36,169.99,Walking,131.63
54.31,58.74,162.98,Cycling,419.44
53.49,16.24,126.89,Running,187.91
79.2,77.91,150.76,Cycling,511.36
84.26,55.23,125.62,Walking,279.3
92.46,15.65,154.81,Cycling,159.5
84.46,44.21,101.38,Cycling,291.41
66.68,39.1,123.18,Cycling,265.56
69.97,27.6,167.43,Cycling,209.43
63.48,49.84,140.65,Walking,237.09
87.69,71.22,147.49,Walking,328.78
79.38,35.65,124.63,Walking,191.71
62.36,48.97,130.14,Running,434.72
66.13,60.41,134.09,Walking,303.25
74.37,85.63,126.9,Walking,395.13
89.72,21.54,100.2,Walking,136.8
77.74,50.14,127.34,Cycling,342.99
97.98,60.89,108.86,Cycling,413.16
55.23,23.05,103.8,Cycling,187.05
97.33,43.18,167.25,Cycling,311.92
88.83,16.65,103.57,Cycling,127.56
94.04,22.58,147.85,Cycling,187.7
86.55,84.73,152.95,Cycling,574.92
72.36,76.76,123.12,Walking,359.02
88.12,53.24,159.19,Running,486.76
93.9,11.09,150.04,Walking,87.84
