Brand,RAM,Storage,Processor,ScreenSize,Price
Asus,8,1024,i5,17.0,86358.94
Asus,32,512,i9,14.0,145439.65
Lenovo,8,256,i9,15.6,79988.98
Dell,4,256,i7,14.0,56980.71
HP,8,1024,i7,13.3,99099.03
Asus,32,1024,i7,14.0,153798.7
Acer,4,1024,i9,14.0,95522.87
Lenovo,32,256,i9,14.0,138871.0
Lenovo,32,256,i5,14.0,113708.1
Acer,4,256,i7,13.3,58635.42
Acer,8,512,i7,15.6,75779.53
Asus,16,1024,i5,17.0,101157.88
Dell,32,256,i5,13.3,111727.29
HP,16,256,i3,17.0,59588.86
Lenovo,32,1024,i3,13.3,135757.57
HP,8,512,i5,17.0,64965.42
Lenovo,16,256,i7,13.3,82739.53
HP,4,1024,i3,14.0,62999.92
Lenovo,4,1024,i3,17.0,63398.23
Dell,4,512,i7,15.6,69472.1
Lenovo,4,512,i7,13.3,68103.24
Acer,4,256,i3,17.0,36235.67
Acer,16,1024,i3,15.6,91376.07
Lenovo,4,1024,i7,13.3,85123.58
Lenovo,8,1024,i7,17.0,99004.64
Lenovo,32,1024,i7,15.6,156780.62
Asus,8,256,i9,17.0,76852.39
Dell,16,512,i7,13.3,93676.27
Asus,32,1024,i5,15.6,144871.68
Asus,16,256,i9,13.3,96925.51
HP,16,512,i9,13.3,110282.75
HP,16,512,i9,15.6,107373.29
Lenovo,32,1024,i3,13.3,132715.79
HP,16,1024,i7,15.6,115614.58
Acer,4,512,i9,17.0,78333.17
Acer,8,256,i3,13.3,41006.19
Acer,4,256,i5,15.6,45726.71
Lenovo,8,512,i3,13.3,55522.0
Lenovo,16,256,i5,13.3,77953.4
Lenovo,16,256,i3,13.3,60737.33
Asus,8,1024,i7,15.6,95232.97
Asus,32,1024,i3,13.3,136202.56
HP,8,512,i9,13.3,91253.36
HP,16,1024,i7,14.0,115230.84
Acer,32,512,i5,17.0,123860.4
Asus,8,1024,i3,13.3,68973.55
HP,4,512,i9,15.6,80424.51
Acer,4,256,i5,15.6,46015.11
Acer,32,1024,i5,15.6,145616.61
Asus,8,256,i7,13.3,66982.85
Dell,4,512,i7,17.0,64312.51
Lenovo,32,1024,i5,13.3,146741.75
HP,32,1024,i5,13.3,147662.56
Dell,16,1024,i7,15.6,116421.17
Lenovo,16,256,i7,15.6,83286.66
Asus,4,512,i7,14.0,62872.73
Dell,4,1024,i9,14.0,102936.15
HP,8,512,i9,13.3,86229.43
Dell,16,256,i3,13.3,63458.6
Lenovo,32,512,i9,13.3,151370.02
Asus,4,256,i9,14.0,64287.1
HP,4,512,i3,15.6,40882.55
