Temperature,Humidity,WindSpeed,Pressure,Rainfall
20.67,57.73,0.29,1003.05,47.64
37.74,43.9,25.41,999.7,61.15
23.75,87.94,2.82,1005.18,65.44
28.84,78.7,25.48,992.42,89.9
23.83,57.13,9.99,993.79,57.26
32.44,72.75,25.09,1019.4,68.25
36.66,50.32,3.6,1004.33,45.59
37.33,68.56,7.74,1002.2,59.3
38.38,65.18,29.79,1004.49,73.94
38.89,73.86,17.71,1000.01,77.96
29.74,79.67,6.77,1018.42,60.67
26.15,79.15,24.67,994.36,81.11
31.65,63.5,19.04,1000.87,66.69
21.78,52.73,13.56,1004.85,56.58
35.86,60.62,12.69,999.61,63.89
32.35,43.51,5.07,997.5,42.36
25.89,61.44,22.09,1001.28,70.93
25.1,68.29,23.09,1001.36,69.25
33.47,79.45,4.35,991.29,71.75
34.46,40.69,15.05,1013.2,42.4
29.38,96.32,18.68,999.57,88.71
30.81,64.25,6.66,1002.34,58.31
33.08,90.09,12.96,1012.04,69.75
28.08,85.69,15.35,1011.14,71.23
20.4,92.13,27.31,1007.36,88.21
33.86,70.08,11.61,1017.69,56.29
33.11,99.06,19.06,1005.05,84.75
27.58,42.29,24.02,1001.25,59.26
28.11,42.42,4.7,995.95,41.98
32.12,68.37,8.59,991.27,65.81
38.11,99.95,18.11,1019.2,80.9
29.25,78.7,26.65,993.08,82.8
23.18,53.32,7.32,1011.58,43.53
30.35,95.77,18.12,1001.91,86.25
28.07,83.45,3.03,1006.14,65.59
38.63,97.89,8.74,1010.75,71.28
27.99,98.0,29.99,1012.56,89.65
36.91,75.92,12.18,1014.08,58.91
35.15,97.01,26.8,1019.2,89.85
21.26,50.37,2.38,991.11,51.31
27.78,89.31,13.13,1010.91,75.4
35.73,64.82,9.45,996.22,61.67
28.14,70.36,19.55,990.66,74.6
22.36,76.88,9.45,999.93,67.0
35.71,65.4,6.57,999.51,56.45
35.85,84.7,13.02,998.73,77.21
23.22,84.23,13.12,1005.9,72.07
25.61,88.77,7.83,1018.98,61.22
21.54,90.37,24.05,1013.86,76.58
23.5,80.52,9.59,1019.95,59.0
27.4,68.92,17.19,998.8,67.8
26.51,60.71,0.33,1012.39,44.02
29.77,43.19,7.96,999.52,50.08
31.04,68.18,16.49,1018.93,59.37
35.94,50.36,3.42,1006.89,40.26
24.45,43.03,22.26,1018.94,53.03
20.42,44.71,12.42,1009.82,43.46
32.77,84.68,1.82,1008.44,60.94
32.45,79.55,10.13,990.74,76.51
34.64,51.08,12.35,1014.36,48.18
38.34,75.75,21.61,1017.68,72.9
34.09,70.79,19.66,1000.85,68.46
26.8,61.13,2.41,998.83,51.57
39.94,42.03,0.74,1018.92,28.02
22.27,92.64,29.67,1002.48,90.53
22.21,56.22,13.41,1006.22,57.17
26.32,53.52,12.91,1008.68,49.51
21.58,84.37,5.42,1016.8,59.54
33.42,94.12,29.68,1002.15,91.63
25.43,43.65,18.22,997.31,55.33
27.45,63.0,17.23,1007.6,65.63
32.58,92.13,2.02,1011.6,68.77
36.68,64.61,13.34,1000.25,59.32
26.75,73.06,29.16,1001.84,83.08
25.71,96.3,23.41,1004.91,85.33
27.94,62.15,9.26,993.36,65.26
33.26,51.16,18.69,998.19,60.59
37.46,47.47,11.58,1008.96,44.17
21.9,84.15,26.78,1018.49,74.54
38.23,84.09,16.67,1006.48,72.61
23.35,41.99,2.59,996.62,41.54
38.92,55.9,19.1,1003.94,57.15
21.59,89.1,28.4,1019.53,83.11
22.12,53.27,1.02,1000.86,50.28
28.49,41.63,26.13,995.7,66.32
21.88,72.51,4.05,1015.33,58.16
21.1,55.93,7.15,1008.47,47.52
24.82,70.74,3.5,992.11,60.47
24.55,75.62,28.25,999.02,80.67
35.76,55.98,27.98,1004.36,64.98
36.48,81.19,29.0,1015.68,75.98
30.05,40.07,9.1,1004.81,48.72
35.46,80.63,16.98,1000.88,77.17
38.37,70.58,22.97,1001.25,76.83
21.18,41.66,28.26,1006.58,61.96
34.51,65.02,12.88,990.3,73.91
33.85,55.71,13.4,1011.5,55.86
34.4,51.93,9.99,995.45,61.26
30.23,63.18,18.28,1013.87,56.12
22.86,94.38,22.15,1016.83,84.88
33.08,82.67,14.14,997.21,80.65
39.08,68.58,14.58,998.41,66.27
33.93,49.65,22.74,998.77,67.72
28.13,93.67,3.47,991.68,78.74
39.63,71.17,20.32,1016.23,63.35
28.23,55.83,20.0,999.24,62.96
34.18,50.84,13.03,1001.68,57.48
29.17,65.21,22.65,1017.94,66.54
22.93,84.44,16.91,996.32,83.01
28.06,60.0,5.53,1006.68,47.21
37.86,78.43,14.69,1007.14,73.91
20.56,82.88,21.98,1015.63,73.64
28.21,98.44,23.94,996.08,94.17
22.7,50.38,17.06,996.2,64.94
38.39,78.66,6.59,1010.87,63.58
34.93,71.65,19.86,994.73,77.85
33.43,53.85,16.76,1010.71,57.33
37.04,71.31,3.7,1007.02,55.16
23.4,46.73,6.62,1005.56,45.35
28.02,60.68,12.41,1015.67,48.86
34.35,73.62,20.13,1006.17,72.49
37.48,51.48,9.43,1011.8,42.93
37.48,52.7,27.15,1000.36,69.31
20.65,87.0,19.91,1005.38,75.44
30.79,53.37,9.14,1016.8,41.94
24.79,94.51,15.37,1015.55,74.16
20.45,85.59,7.93,1004.69,67.6
38.98,43.53,25.74,1009.97,56.42
39.57,70.59,3.65,995.79,61.81
39.38,83.55,19.32,1008.06,81.36
38.33,54.3,5.39,1019.28,38.57
21.76,93.6,2.56,1006.49,66.21
32.38,68.01,22.41,1006.59,70.84
33.28,54.56,6.09,1012.07,48.15
26.86,56.28,16.6,1010.1,53.45
28.37,69.75,7.71,996.48,65.11
20.08,62.86,2.35,1003.96,52.36
21.5,87.67,22.17,1010.79,74.99
20.27,84.39,29.86,1017.94,81.89
38.57,43.31,2.27,1003.28,45.99
29.16,52.49,24.02,1002.08,63.58
34.53,56.97,3.84,1003.93,51.8
25.43,84.0,7.94,1008.47,69.27
29.96,44.18,16.76,996.98,54.01
28.35,71.28,11.81,998.09,70.59
24.76,56.51,26.26,1001.9,66.82
33.7,78.59,21.5,999.4,78.75
31.33,51.77,1.41,993.64,50.77
21.45,48.84,2.2,997.84,43.86
38.27,91.38,16.32,998.08,86.5
32.69,66.46,15.4,1001.7,69.89
29.1,58.88,3.48,1017.74,44.11
29.54,68.65,28.97,995.17,78.65
31.14,55.78,23.9,993.48,68.36
31.67,58.37,7.82,1018.16,46.38
24.6,81.31,4.71,995.33,67.24
34.07,64.68,2.52,992.78,62.59
28.46,68.59,14.1,996.66,73.11
34.6,50.81,8.04,1019.01,44.83
28.51,69.97,23.77,993.72,77.74
39.96,63.19,22.92,990.57,79.5
38.86,64.51,3.76,1017.4,45.84
20.27,75.82,0.92,1009.82,53.86
28.44,47.35,15.22,1014.84,50.07
38.08,73.75,28.55,992.64,90.43
25.66,68.84,26.88,1002.93,80.01
20.04,77.42,10.3,1008.64,69.05
22.65,95.6,16.23,999.21,90.04
39.68,54.54,16.0,1004.78,58.25
39.81,76.81,23.75,1003.17,75.72
28.43,97.0,28.91,1015.86,90.78
27.59,63.94,15.53,1011.31,58.16
26.58,46.19,15.56,1007.36,53.9
39.34,40.66,19.08,994.16,53.42
35.52,97.47,29.06,993.75,102.67
20.92,66.86,6.4,1008.16,57.35
38.19,69.73,0.52,1019.96,48.21
37.72,71.29,23.01,1005.87,72.21
33.68,71.87,14.54,1012.75,64.78
22.4,81.81,7.2,999.61,71.22
22.66,61.16,14.14,1001.55,61.08
34.89,79.59,7.0,992.15,74.69
29.64,84.61,0.77,990.2,74.86
31.73,67.01,13.51,1018.63,60.23
22.9,63.7,26.88,1013.13,71.98
33.88,78.11,12.83,1019.06,63.51
37.5,97.95,22.1,996.99,88.83
38.74,48.79,14.44,1014.15,49.02
31.08,73.7,20.08,1002.31,78.35
31.06,72.0,15.77,1017.49,66.63
34.85,95.37,27.37,993.55,97.95
39.75,43.12,24.95,1001.63,62.91
29.28,81.29,11.68,999.6,77.36
33.17,82.77,26.22,1011.03,76.15
34.81,40.72,28.75,1005.15,59.61
32.8,92.1,25.74,1006.62,83.38
38.15,75.97,22.93,999.47,81.16
25.35,46.26,6.64,1001.42,46.75
26.38,76.95,19.06,999.88,77.91
22.59,40.06,8.22,1009.28,39.94
33.66,93.05,12.47,1006.15,74.69
32.99,95.38,13.33,1016.02,72.75
29.38,90.82,3.37,1004.6,68.15
20.21,52.77,10.04,1015.8,44.41
29.24,53.73,28.01,994.49,76.56
38.1,61.35,28.44,1001.28,74.83
27.42,66.4,10.07,1008.84,55.49
32.63,90.94,4.72,996.16,70.67
27.74,80.96,13.7,1013.55,64.34
21.96,81.54,2.29,999.19,69.37
26.1,92.06,18.68,1010.76,84.13
29.45,65.18,4.6,1004.75,52.05
21.11,77.4,20.69,1010.06,74.92
35.76,64.08,7.91,1015.39,53.61
32.99,94.76,5.13,994.35,80.42
21.29,45.41,0.56,993.27,44.4
26.58,71.61,3.76,1009.74,59.48
38.7,89.26,10.8,1007.4,70.12
